DATE,COUNT,SECONDS
1/1/2014,123,100383
1/1/2015,862,667199
1/1/2016,935,818563
1/1/2017,1727,1552844
1/10/2014,823,545435
1/10/2015,592,395624
1/10/2016,993,573260
1/10/2017,3310,2111982
1/11/2014,829,600342
1/11/2015,777,481660
1/11/2016,2194,1329946
1/11/2017,3821,2214916
1/12/2014,996,868934
1/12/2015,1343,823214
1/12/2016,1964,1283540
1/12/2017,3071,1926711
1/13/2014,2645,1705945
1/13/2015,1670,992383
1/13/2016,2440,1568691
1/13/2017,3676,2230493
1/14/2014,2149,1404644
1/14/2015,1804,1017816
1/14/2016,4529,3208490
1/14/2017,2160,1479148
1/15/2014,1734,1129481
1/15/2015,2301,1518335
1/15/2016,4210,2566333
1/15/2017,2195,1585021
1/16/2014,1716,1225299
1/16/2015,2766,1773071
1/16/2016,2203,1501412
1/16/2017,1406,738041
1/17/2014,1427,990842
1/17/2015,1878,1504206
1/17/2016,730,434389
1/17/2017,4704,2950948
1/18/2014,414,318591
1/18/2015,1739,1402010
1/18/2016,1233,734626
1/18/2017,5337,3536696
1/19/2014,562,420158
1/19/2015,2498,1665159
1/19/2016,2663,1807579
1/19/2017,4424,2789648
1/2/2014,112,77666
1/2/2015,2474,1707720
1/2/2016,1421,989462
1/2/2017,1960,1208564
1/20/2014,1208,750068
1/20/2015,3311,2035343
1/20/2016,2933,1778665
1/20/2017,4573,2996702
1/21/2014,877,577512
1/21/2015,3357,2242594
1/21/2016,3831,2224234
1/21/2017,7697,9026918
1/22/2014,923,564957
1/22/2015,3483,2113055
1/22/2016,3512,2142826
1/22/2017,3167,2564008
1/23/2014,924,526681
1/23/2015,3369,2178749
1/23/2016,2279,1545162
1/23/2017,5788,3845842
1/24/2014,896,476732
1/24/2015,2615,2319271
1/24/2016,1988,1289569
1/24/2017,5762,3613534
1/25/2014,434,321287
1/25/2015,698,500138
1/25/2016,4078,2645755
1/25/2017,5080,3195375
1/26/2014,329,225310
1/26/2015,2389,1703862
1/26/2016,4327,2710106
1/26/2017,4731,2912044
1/27/2014,406,216016
1/27/2015,2690,1842416
1/27/2016,4529,2783637
1/27/2017,4376,2701648
1/28/2014,451,299772
1/28/2015,3121,2170985
1/28/2016,4697,3002865
1/28/2017,2214,1368851
1/29/2014,1072,665851
1/29/2015,3119,1880356
1/29/2016,4602,2749950
1/29/2017,1623,1013234
1/3/2014,6,3503
1/3/2015,697,418977
1/3/2016,1399,1132608
1/3/2017,4537,2872396
1/30/2014,1351,906251
1/30/2015,3018,2006985
1/30/2016,4119,3614721
1/30/2017,4486,2839823
1/31/2014,1570,997413
1/31/2015,1911,1461553
1/31/2016,2214,1605306
1/31/2017,5076,3055091
1/4/2014,205,218010
1/4/2015,403,359356
1/4/2016,3833,2622348
1/4/2017,3269,1998095
1/5/2014,33,25476
1/5/2015,1220,699860
1/5/2016,4189,2605108
1/5/2017,2917,1596175
1/6/2014,1,393
1/6/2015,951,611954
1/6/2016,4608,3008964
1/6/2017,2516,1375778
1/7/2015,749,482840
1/7/2016,5028,3132157
1/7/2017,1330,906691
1/8/2015,615,393039
1/8/2016,3425,2046958
1/8/2017,1193,799915
1/9/2014,860,597978
1/9/2015,858,510968
1/9/2016,1733,1182480
1/9/2017,3816,2291492
10/1/2014,10149,8039281
10/1/2015,11223,8403880
10/1/2016,5938,5946909
10/1/2017,12510,14083939
10/10/2014,9159,7604458
10/10/2015,12472,15268147
10/10/2016,14742,14538893
10/10/2017,10648,8264664
10/11/2014,9389,11405136
10/11/2015,14639,20917817
10/11/2016,14694,12646739
10/11/2017,7702,4966839
10/12/2014,8578,11571819
10/12/2015,13870,13711739
10/12/2016,7601,5232620
10/12/2017,13466,9863596
10/13/2014,5898,4770039
10/13/2015,11744,9037949
10/13/2016,12156,9596996
10/13/2017,16661,15651166
10/14/2014,2856,1898117
10/14/2015,11849,9194527
10/14/2016,13452,12420826
10/14/2017,1563,1053026
10/15/2014,6208,4194860
10/15/2015,11528,9383488
10/15/2016,11741,12969330
10/15/2017,6758,5924278
10/16/2014,7665,5673602
10/16/2015,11158,9661074
10/16/2016,9145,9999567
10/16/2017,13724,10485395
10/17/2014,8469,7422664
10/17/2015,8125,8415900
10/17/2016,14205,12981551
10/17/2017,14970,11219914
10/18/2014,4371,3984234
10/18/2015,8357,9004985
10/18/2016,14322,11812942
10/18/2017,14726,11352711
10/19/2014,6612,7394637
10/19/2015,11373,9288891
10/19/2016,12842,9965435
10/19/2017,15229,12035576
10/2/2014,8668,6354829
10/2/2015,10890,8311305
10/2/2016,9023,9915852
10/2/2017,16436,13721337
10/20/2014,8538,6936502
10/20/2015,12102,9688535
10/20/2016,10759,7391273
10/20/2017,16403,15384748
10/21/2014,7665,5242448
10/21/2015,12768,10744360
10/21/2016,9712,7546174
10/21/2017,14830,19029193
10/22/2014,8212,5862124
10/22/2015,11483,8848893
10/22/2016,9513,10633889
10/22/2017,6125,5969001
10/23/2014,8032,5706862
10/23/2015,9681,7366532
10/23/2016,11192,13739679
10/23/2017,6369,4391204
10/24/2014,8838,8786906
10/24/2015,6511,6427871
10/24/2016,11622,8959170
10/24/2017,3747,2254034
10/25/2014,11010,13928786
10/25/2015,9334,10634425
10/25/2016,10718,7371913
10/25/2017,11341,7638320
10/26/2014,8069,9679394
10/26/2015,10746,8547430
10/26/2016,4876,2832970
10/26/2017,11918,8511447
10/27/2014,9997,8894667
10/27/2015,7306,5029000
10/27/2016,9741,6757877
10/27/2017,8710,5774600
10/28/2014,8524,6234459
10/28/2015,6385,4132104
10/28/2016,12319,10594869
10/28/2017,4664,3555189
10/29/2014,7509,4993259
10/29/2015,7586,4879446
10/29/2016,12872,15958708
10/29/2017,5890,5279262
10/3/2014,5957,4439743
10/3/2015,6226,5303318
10/3/2016,13033,10694018
10/3/2017,14711,11472953
10/30/2014,7450,5071594
10/30/2015,9881,7775281
10/30/2016,7431,7167750
10/30/2017,9367,6102072
10/31/2014,4010,2555151
10/31/2015,2042,1411368
10/31/2016,11167,8911346
10/31/2017,8563,5471428
10/4/2014,2944,2149114
10/4/2015,6413,6141937
10/4/2016,14147,11457103
10/4/2017,14740,10987695
10/5/2014,5702,5701886
10/5/2015,11011,8559835
10/5/2016,14601,12055925
10/5/2017,16228,13097375
10/6/2014,8379,6546729
10/6/2015,12380,9969928
10/6/2016,6629,5507702
10/6/2017,11165,8708468
10/7/2014,9542,7694818
10/7/2015,12942,10431517
10/7/2016,14795,13177082
10/7/2017,9428,10671461
10/8/2014,9734,7535997
10/8/2015,12779,10762877
10/8/2016,12884,16106552
10/8/2017,17280,25555667
10/9/2014,9179,7044349
10/9/2015,11708,9924666
10/9/2016,12322,16477625
10/9/2017,18232,18587507
11/1/2014,3621,3525859
11/1/2015,8854,10213204
11/1/2016,13503,11677463
11/1/2017,6327,3978994
11/10/2014,7264,5464933
