DATE,COUNT,SECONDS
1/1/2015,5317,4263206
1/1/2016,11009,13355437
1/10/2015,6109,3641121
1/10/2016,14275,13004680
1/11/2015,7467,4652482
1/11/2016,22937,16426323
1/12/2015,8645,5391780
1/12/2016,25211,18459298
1/13/2015,12797,7914786
1/13/2016,21133,16842772
1/14/2015,13086,8152950
1/14/2016,23780,18576311
1/15/2015,14075,8915114
1/15/2016,28435,24717364
1/16/2015,13843,8657008
1/16/2016,19178,19467252
1/17/2015,7491,4923427
1/17/2016,12024,11796757
1/18/2015,1795,1298636
1/18/2016,12718,9517717
1/19/2015,10710,7408393
1/19/2016,17281,11578283
1/2/2015,11304,8265948
1/2/2016,14587,14983372
1/20/2015,16129,10449450
1/20/2016,23420,17641368
1/21/2015,15234,9549420
1/21/2016,23672,19465451
1/22/2015,15864,10161582
1/22/2016,20950,18679576
1/23/2015,15737,10064764
1/24/2015,4814,3034281
1/25/2015,9379,6764796
1/26/2015,4141,2754238
1/27/2015,1214,1160913
1/27/2016,6761,7298015
1/28/2015,5401,4593319
1/28/2016,11946,12052510
1/29/2015,8870,6669423
1/29/2016,16028,13520788
1/3/2015,4478,2934363
1/3/2016,15499,14640316
1/30/2015,9015,5873039
1/30/2016,12973,11898965
1/31/2015,5188,3251745
1/31/2016,16118,15507960
1/4/2015,7849,5333821
1/4/2016,19593,15117224
1/5/2015,14506,9252098
1/5/2016,18053,12317112
1/6/2015,8739,5548587
1/6/2016,24569,20527604
1/7/2015,9646,5683529
1/7/2016,27773,21492252
1/8/2015,8779,5231063
1/8/2016,28709,24190101
1/9/2015,7930,5048697
1/9/2016,20846,18561032
10/1/2014,27942,20692571
10/1/2015,34719,38432303
10/10/2014,30887,27464979
10/10/2015,39345,55665083
10/11/2014,12965,11121575
10/11/2015,38967,59464708
10/12/2014,23394,24692952
10/12/2015,45584,50769766
10/13/2014,22752,18351970
10/13/2015,49047,49973419
10/14/2014,32614,36685383
10/14/2015,49998,47419498
10/15/2014,28743,23300859
10/15/2015,48783,50171657
10/16/2014,26754,21820666
10/16/2015,46484,48981074
10/17/2014,34132,31234476
10/17/2015,31809,39147067
10/18/2014,24978,26754012
10/18/2015,23978,24107823
10/19/2014,18840,16444746
10/19/2015,36570,35660416
10/2/2014,34492,29250266
10/2/2015,9444,10593600
10/20/2014,27914,28780115
10/20/2015,45376,45545846
10/21/2014,31330,24895184
10/21/2015,49121,48734278
10/22/2014,9169,6512569
10/22/2015,49604,51527546
10/23/2014,13371,9814300
10/23/2015,44679,46929316
10/24/2014,29837,24237394
10/24/2015,31713,36693652
10/25/2014,24952,24787938
10/25/2015,29289,34240788
10/26/2014,20768,19374211
10/26/2015,42165,38469191
10/27/2014,28806,24283463
10/27/2015,44553,39722576
10/28/2014,32956,25694628
10/28/2015,20736,17956325
10/29/2014,29999,22948104
10/29/2015,45358,44763262
10/3/2014,34944,32039924
10/3/2015,16564,20034305
10/30/2014,31133,24673529
10/30/2015,44518,42567232
10/31/2014,27785,30125238
10/31/2015,31756,39042969
10/4/2014,13354,11323501
10/4/2015,30214,37845188
10/5/2014,23456,22149521
10/5/2015,44581,49584400
10/6/2014,31742,26141867
10/6/2015,49719,52350680
10/7/2014,32892,26662916
10/7/2015,50141,49405350
10/8/2014,33607,33641847
10/8/2015,50179,54268803
10/9/2014,32203,26428448
10/9/2015,37283,49134672
11/1/2014,6002,4030493
11/1/2015,30622,37106823
11/10/2014,27655,21479973
11/10/2015,21585,16860591
11/11/2014,29358,22587612
11/11/2015,37705,33793810
11/12/2014,27807,21486491
11/12/2015,37319,29878747
11/13/2014,20652,17352249
11/13/2015,38970,33996111
11/14/2014,21082,15946771
11/14/2015,25299,26157565
11/15/2014,14057,10954804
11/15/2015,25990,28282816
11/16/2014,13272,10389095
11/16/2015,40916,37463881
11/17/2014,8116,6024360
11/17/2015,38939,33569827
11/18/2014,16691,11115904
11/18/2015,41485,34811922
11/19/2014,16694,13027665
11/19/2015,21890,19234660
11/2/2014,14100,13640930
11/2/2015,44534,44456671
11/20/2014,20611,14856149
11/20/2015,38205,37395968
11/21/2014,17806,11550289
11/21/2015,28038,28376142
11/22/2014,12682,10353492
11/22/2015,23343,23419696
11/23/2014,15669,13460834
11/23/2015,30136,24004664
11/24/2014,23031,17587919
11/24/2015,32218,25710922
11/25/2014,25580,21709559
11/25/2015,30295,27439185
11/26/2014,3675,2812496
11/26/2015,13291,18939285
11/27/2014,3945,2806373
