DATE,COUNT,SECONDS
2014-01-01,3011,3107315
2014-01-02,3316,2315821
2014-01-03,1608,1036848
2014-01-04,2242,1472207
2014-01-05,2060,1338968
2014-01-06,3507,2170974
2014-01-07,2282,1278429
2014-01-08,3855,2418397
2014-01-09,4948,3125234
2014-01-10,1843,1045815
2014-01-11,1955,1128367
2014-01-12,5413,4748776
2014-01-13,6861,4952956
2014-01-14,5059,3404791
2014-01-15,6459,4457447
2014-01-16,6016,4007893
2014-01-17,6138,4318040
2014-01-18,3299,2282884
2014-01-19,4099,3713919
2014-01-20,5316,4924020
2014-01-21,1747,1090109
2014-01-22,1426,957020
2014-01-23,2426,1416963
2014-01-24,2623,1516866
2014-01-25,2259,1328910
2014-01-26,2554,1481978
2014-01-27,4484,2719982
2014-01-28,3129,1743709
2014-01-29,3160,1817686
2014-01-30,4178,2495015
2014-01-31,5424,3762071
2014-02-01,5342,4953603
2014-02-02,5423,5152023
2014-02-03,2462,1540010
2014-02-04,5177,3355075
2014-02-05,3746,2286601
2014-02-06,5176,3275659
2014-02-07,5394,3645066
2014-02-08,4037,2773090
2014-02-09,3120,2115710
2014-02-10,4431,2609403
2014-02-11,4747,3013429
2014-02-12,3945,2366464
2014-02-13,52,38642
2014-02-14,1911,1439771
2014-02-15,1748,1141794
2014-02-16,2838,2472790
2014-02-17,3311,2429515
2014-02-18,5086,3545276
2014-02-19,5622,3858146
2014-02-20,6577,4944562
2014-02-21,5783,4130581
2014-02-22,7817,9788409
2014-02-23,6065,5928510
2014-02-24,5396,3889274
2014-02-25,4561,2800794
2014-02-26,3921,2446993
2014-02-27,4882,3097600
2014-02-28,4093,2476662
2014-03-01,4560,4170670
2014-03-02,3493,2886046
2014-03-03,418,389611
2014-03-04,2244,1698965
2014-03-05,4512,2975056
2014-03-06,4832,3046433
2014-03-07,5064,3307288
2014-03-08,8416,11830595
2014-03-09,5916,6137140
2014-03-10,6785,5843030
2014-03-11,8360,8234544
2014-03-12,6229,5147080
2014-03-13,3984,2306161
2014-03-14,6949,6066616
2014-03-15,10344,14867037
2014-03-16,4813,4688967
2014-03-17,1279,782984
2014-03-18,4658,3290035
2014-03-19,3754,2463316
2014-03-20,7514,6609994
2014-03-21,7677,6561046
2014-03-22,10847,17394720
